one,other,angle
178,177,0.09810470785132944
178,179,88.89706326160616
178,180,26.57068317352159
178,188,90.94249884743364
178,190,90.00449802101463
179,7,0.0508950990708315
179,8,90.29784451445022
179,178,88.89706326160616
179,180,64.53225363654677
179,188,0.16044082010179922
180,178,26.57068317352159
180,179,64.53225363654677
180,181,22.83150922305064
180,187,152.73857275616595
180,188,115.6281842844267
181,180,22.83150922305064
181,182,87.6284838063682
181,183,0.5517804710459913
181,184,95.49807512901468
181,187,50.09293645633245
182,256,11.625888090749829
182,257,79.63705878565344
182,181,87.6284838063682
182,183,92.92329646939905
182,184,3.1265591999443565
183,203,100.26974428499031
183,204,1.2712508622719123
183,181,0.5517804710459913
183,182,92.92329646939905
183,184,83.95014460591604
184,200,1.7958641141333629
184,181,95.49807512901468
184,182,3.1265591999443565
184,183,83.95014460591604
184,185,33.66324140673207
185,194,1.3626110213790823
185,199,97.0602728907052
185,200,148.13262250668262
185,184,33.66324140673207
185,186,87.84540840223663
186,194,93.51720171931606
186,199,4.905681329263766
186,185,87.84540840223663
186,187,92.9003386150556
186,188,4.533581607667957
186,189,86.21717164487255
187,180,152.73857275616595
187,181,50.09293645633245
187,186,92.9003386150556
187,188,91.63324295940737
187,189,0.8824911055062002
188,178,90.94249884743364
188,179,0.16044082010179922
188,180,115.6281842844267
188,186,4.533581607667957
188,187,91.63324295940737
188,189,89.2492467971485
189,191,0.14970446354809244
189,192,90.4334414805287
189,186,86.21717164487255
189,187,0.8824911055062002
189,188,89.2492467971485
189,190,89.80375633440413
190,191,90.04654750681657
190,192,0.237198566158087
190,177,89.89740991377366
190,178,90.00449802101463
190,189,89.80375633440413
191,192,89.71625469476182
191,174,87.61369265926132
191,175,91.18633777926121
191,189,0.14970446354809244
191,190,90.04654750681657
192,191,89.71625469476182
192,193,90.53657715801806
192,194,89.832185155303
192,195,0.04577989864938755
192,189,90.4334414805287
192,190,0.237198566158087
193,192,90.53657715801806
193,194,0.3687657951119908
193,195,89.41764752081986
193,172,88.21400768661482
193,173,0.3882922255881939
193,174,92.1334754879622
194,192,89.832185155303
194,193,0.3687657951119908
194,195,90.2135901839711
194,199,81.57711700608425
194,185,1.3626110213790823
194,186,93.51720171931606
195,192,0.04577989864938755
195,193,89.41764752081986
195,194,90.2135901839711
195,196,89.82044922849205
195,197,30.503359869102287
195,198,89.45194977335855
196,195,89.82044922849205
196,197,59.676190963601506
196,198,0.7276029371839802
196,171,88.01500147076868
196,172,92.54789556407877
197,195,30.503359869102287
197,196,59.676190963601506
197,198,121.051410079482
197,208,86.46416065620674
197,209,89.18643945955198
197,210,0.20492538086806267
198,195,89.45194977335855
198,196,0.7276029371839802
198,197,121.051410079482
198,199,98.75734303673988
198,200,33.56444767279044
198,201,61.48953833832841
199,194,81.57711700608425
199,198,98.75734303673988
199,200,114.80710460261221
199,201,19.753118647142514
199,185,97.0602728907052
199,186,4.905681329263766
200,198,33.56444767279044
200,199,114.80710460261221
200,201,84.94601404156201
200,184,1.7958641141333629
200,185,148.13262250668262
201,198,61.48953833832841
201,199,19.753118647142514
201,200,84.94601404156201
201,202,0.5310660791026327
201,203,92.62996096482756
202,201,0.5310660791026327
202,203,86.83897332968004
202,206,92.36223283193094
202,207,8.95428280190541
202,208,90.46382520236946
203,183,100.26974428499031
203,201,92.62996096482756
203,202,86.83897332968004
203,204,81.00150640363044
204,183,1.2712508622719123
204,203,81.00150640363044
204,205,4.418176418450357
204,206,99.79728743485771
205,204,4.418176418450357
205,219,95.3863836541634
205,220,1.9186083996350587
205,206,84.6208889105562
206,202,92.36223283193094
206,204,99.79728743485771
206,205,84.6208889105562
206,207,96.59204994226609
206,208,2.8260586041722364
207,202,8.95428280190541
207,206,96.59204994226609
207,208,80.58189205034724
207,215,99.04097804449573
207,216,5.4966670422740185
207,217,83.21370361486392
208,197,86.46416065620674
208,202,90.46382520236946
208,206,2.8260586041722364
208,207,80.58189205034724
208,209,4.3494002792793385
208,210,93.740759145688
209,162,5.231000928680831
209,163,84.41604508057006
209,197,89.18643945955198
209,208,4.3494002792793385
209,210,90.60864078608527
210,197,0.20492538086806267
210,208,93.740759145688
210,209,90.60864078608527
210,211,89.44451056230488
210,212,0.4699503271382576
210,213,86.89656341933005
211,159,95.60203357187427
211,160,82.45121847104241
211,210,89.44451056230488
211,212,91.02543783857857
211,213,3.658926301236992
212,226,91.16349918543884
212,227,89.14858059581832
212,228,49.398009537131074
212,229,1.239396106421206
212,210,0.4699503271382576
212,211,91.02543783857857
212,213,92.63348821271137
213,210,86.89656341933005
213,211,3.658926301236992
213,212,92.63348821271137
213,214,87.96164721901484
213,215,0.2601940253330216
214,225,88.34179466047804
214,226,88.24136538283653
214,213,87.96164721901484
214,215,92.29854545946553
215,207,99.04097804449573
215,213,0.2601940253330216
215,214,92.29854545946553
215,216,86.45568884907804
215,217,2.254681898140329
216,223,92.04021604834534
216,224,1.1476050506492048
216,225,92.90397103102914
216,207,5.4966670422740185
216,215,86.45568884907804
216,217,91.28962951636842
217,207,83.21370361486392
217,215,2.254681898140329
217,216,91.28962951636842
217,218,88.18956803125347
217,219,0.1869765878386018
218,223,88.48058640403292
218,217,88.18956803125347
218,219,91.62345811277413
218,222,89.89475574449024
219,217,0.1869765878386018
219,218,91.62345811277413
219,220,86.53222433195076
219,205,95.3863836541634
